Name,TEAM CODE,Games,Games Started,Minutes,Fouls Suffered,Fouls Committed,Yellow Cards,Red Cards,Offsides,Crosses,Corner Kicks,Penalty Kick Goals,Penalty Kicks,Season,Competition
Simone Zaza,VAL,15,14,1181,20,27,7,1,9,9,0,0,0,2017,Liga
Maxi Gómez,CEL,16,16,1358,43,28,7,0,14,6,0,0,0,2017,Liga
Cristhian Stuani,GIR,15,15,1272,36,46,6,0,12,1,0,0,0,2017,Liga
Iago Aspas,CEL,16,16,1439,32,14,5,0,4,30,14,1,1,2017,Liga
Cédric Bakambu,VIL,15,15,1269,19,41,5,0,11,18,0,1,1,2017,Liga
Christian Santos,ALA,10,5,433,0,17,4,1,2,2,0,0,0,2017,Liga
Aduriz,ATH,17,12,1175,18,20,4,0,17,16,0,2,3,2017,Liga
Luis Suárez,BAR,14,14,1253,22,22,4,0,30,19,0,0,0,2017,Liga
Jorge Molina,GET,17,17,1471,27,26,4,0,25,12,0,2,2,2017,Liga
Kike García,EIB,16,12,1016,24,16,3,0,6,11,0,0,0,2017,Liga
Claudio Beauvue,LGN,13,9,875,16,17,3,0,8,6,0,0,0,2017,Liga
Florin Andone,DEP,13,6,679,8,20,3,0,9,3,0,0,1,2017,Liga
Adalberto Peñaranda,MAG,11,10,728,24,27,3,0,3,4,0,0,0,2017,Liga
Zakaria Bakkali,DEP,12,6,502,11,11,3,0,1,14,2,0,0,2017,Liga
Munir El Haddadi,ALA,15,13,1164,55,15,3,0,26,31,17,0,0,2017,Liga
Rodrigo,VAL,17,16,1333,21,16,3,0,7,21,0,1,1,2017,Liga
Antoine Griezmann,ATL,14,14,1171,23,10,3,1,11,25,9,0,0,2017,Liga
Ángel,GET,13,9,817,13,17,3,0,19,17,0,0,0,2017,Liga
Adnan Januzaj,RSO,12,9,754,32,17,3,0,5,40,15,0,0,2017,Liga
Carlos Bacca,VIL,16,13,1062,10,11,3,0,18,10,0,0,0,2017,Liga
Gerard Moreno,ESP,17,17,1530,33,22,2,0,17,21,1,1,1,2017,Liga
Charles,EIB,14,8,695,12,16,2,1,7,3,0,1,1,2017,Liga
Mikel Oyarzabal,RSO,14,13,1125,22,15,2,0,4,75,50,0,0,2017,Liga
Santi Mina,VAL,17,4,545,12,12,2,0,4,2,0,1,1,2017,Liga
Nahuel Leiva,BET,7,3,250,6,7,2,0,0,6,0,0,0,2017,Liga
Ángel Correa,ATL,17,13,1022,19,23,2,0,4,29,2,0,0,2017,Liga
Sergio León,BET,15,13,1147,20,13,2,0,8,10,1,0,1,2017,Liga
Borja Bastón,MAG,13,7,762,6,13,2,0,7,4,0,1,2,2017,Liga
Luis Muriel,SEV,13,9,831,6,14,2,0,18,8,1,0,0,2017,Liga
Nolito,SEV,12,7,701,14,4,2,0,11,20,12,0,0,2017,Liga
Amath N'Diaye,GET,17,17,1324,24,31,2,0,3,20,0,0,0,2017,Liga
Emmanuel Boateng,LEV,8,0,231,6,11,2,0,1,0,0,0,0,2017,Liga
Olarenwaju Kayode,GIR,12,2,375,11,11,2,0,5,5,0,0,0,2017,Liga
Nordin Amrabat,LGN,12,6,555,16,24,2,1,7,23,0,0,0,2017,Liga
Sergi Enrich,EIB,17,12,1160,27,19,1,0,20,7,1,0,0,2017,Liga
Nano,LEV,7,2,247,4,6,1,0,4,1,0,0,0,2017,Liga
Gerard Deulofeu,BAR,9,5,494,4,11,1,0,4,29,14,0,0,2017,Liga
Lionel Messi,BAR,17,17,1530,37,7,1,0,6,58,24,2,4,2017,Liga
Pione Sisto,CEL,17,17,1404,40,12,1,0,5,43,17,0,0,2017,Liga
Leo Baptistao,ESP,16,15,1268,25,22,1,0,5,34,1,0,0,2017,Liga
Hernán Pérez,ESP,4,1,140,1,3,1,0,0,10,1,0,0,2017,Liga
Fayçal Fajr,GET,14,10,918,10,10,1,0,1,63,20,0,0,2017,Liga
Tana,"LP
",10,9,819,22,6,1,0,0,26,16,0,0,2017,Liga
Cristiano Ronaldo,RMD,12,12,1066,11,10,1,0,19,20,1,1,2,2017,Liga
Juanmi,RSO,12,6,482,7,6,1,0,4,3,0,0,0,2017,Liga
Willian José,RSO,17,17,1428,28,17,1,0,12,11,0,2,2,2017,Liga
Wissam Ben Yedder,SEV,10,8,730,7,13,1,0,12,9,0,0,0,2017,Liga
Luciano Vietto,ATL,6,4,271,7,4,1,0,1,3,0,0,0,2017,Liga
Guerrero,LGN,6,5,454,8,11,1,0,7,0,0,0,1,2017,Liga
Cristian Tello,BET,14,9,900,9,8,1,0,6,18,1,0,0,2017,Liga
Burgui,ALA,12,7,640,10,8,1,0,5,9,0,0,0,2017,Liga
Rubén Sobrino,ALA,8,3,276,7,5,1,0,1,2,0,0,0,2017,Liga
Sergio García,ESP,15,5,621,16,8,1,0,8,16,0,0,0,2017,Liga
Jonathan Calleri,"LP
",17,16,1439,34,29,1,0,18,19,0,0,0,2017,Liga
Ivi,LEV,14,6,712,10,13,1,0,2,35,6,1,1,2017,Liga
Loïc Rémy,"LP
",12,6,761,7,8,1,0,3,9,0,0,0,2017,Liga
Oussama Tannane,"LP
",10,7,574,17,15,1,0,1,34,21,0,0,2017,Liga
Lucas Pérez,DEP,15,12,1110,15,16,1,0,14,83,54,2,2,2017,Liga
Gonçalo Guedes,VAL,13,9,895,30,14,1,0,5,20,2,0,0,2017,Liga
Naranjo,LGN,5,1,124,2,3,1,0,1,2,1,0,0,2017,Liga
Aleksandar Katai,ALA,3,0,52,1,2,0,0,1,0,0,0,0,2017,Liga
Sabin Merino,ATH,4,1,71,2,0,0,0,0,2,0,0,0,2017,Liga
Iker Muniain,ATH,6,4,405,17,4,0,0,0,10,4,0,0,2017,Liga
Iñaki Williams,ATH,17,13,1193,16,17,0,0,8,41,0,0,0,2017,Liga
Paco Alcácer,BAR,8,4,336,4,1,0,0,5,4,3,0,0,2017,Liga
John Guidetti,CEL,8,0,107,0,2,0,0,1,2,0,0,0,2017,Liga
Andrew Hjulsager,CEL,2,0,12,0,0,0,0,0,1,0,0,0,2017,Liga
Pablo Piatti,ESP,16,14,1037,28,23,0,0,4,100,43,0,0,2017,Liga
Carles Gil,DEP,5,3,270,10,2,0,0,0,5,0,0,0,2017,Liga
Youseff En-Nesyri,MAG,7,0,127,3,3,0,0,1,2,0,0,0,2017,Liga
Gareth Bale,RMD,6,4,414,2,2,0,0,3,17,1,0,0,2017,Liga
Karim Benzema,RMD,12,11,883,4,5,0,0,6,9,0,0,0,2017,Liga
Lucas Vázquez,RMD,13,5,552,16,12,0,0,8,38,1,0,0,2017,Liga
Agirretxe,RSO,3,0,29,1,1,0,0,0,0,0,0,0,2017,Liga
Jon Bautista,RSO,3,0,56,0,2,0,0,1,1,0,0,0,2017,Liga
Carlos Vela,RSO,13,2,374,18,6,0,0,3,22,11,0,0,2017,Liga
Nacho Gil,VAL,5,1,171,6,5,0,0,1,5,1,0,0,2017,Liga
Adrián,DEP,10,7,695,10,8,0,0,7,11,0,0,0,2017,Liga
Mario González,VIL,2,0,16,0,0,0,0,1,1,0,0,0,2017,Liga
Darío Poveda,VIL,1,0,1,0,0,0,0,0,0,0,0,0,2017,Liga
Nicola Sansone,VIL,9,3,300,5,1,0,0,4,14,3,0,0,2017,Liga
Enes Ünal,LEV,13,9,852,14,19,0,0,4,2,0,0,0,2017,Liga
Álex Alegría,LEV,9,8,632,18,16,0,0,5,2,0,0,0,2017,Liga
Tony Sanabria,BET,12,6,638,9,9,0,0,7,2,0,0,0,2017,Liga
Vitolo,"LP
",9,8,690,29,5,0,0,2,14,1,0,0,2017,Liga
Kevin Gameiro,ATL,11,6,509,3,4,0,0,6,3,0,0,0,2017,Liga
Fernando Torres,ATL,12,2,342,9,4,0,0,2,4,0,0,0,2017,Liga
Borja Mayoral,RMD,8,1,119,1,1,0,0,2,1,0,0,0,2017,Liga
Sergio Araujo,,2,0,37,0,0,0,0,0,0,0,0,0,2017,Liga
Hernán Toledo,"LP
",6,0,90,5,2,0,0,1,7,0,0,0,2017,Liga
Marlos Moreno,GIR,1,0,12,0,1,0,0,0,0,0,0,0,2017,Liga
Juan José Narváez,BET,7,4,304,16,4,0,0,0,5,0,0,0,2017,Liga
Brais Méndez,CEL,5,3,180,4,3,0,0,1,8,1,0,0,2017,Liga
Diego Rolan,MAG,11,9,821,26,12,0,0,11,12,0,0,0,2017,Liga
Bojan Krkic,ALA,9,3,276,10,0,0,0,2,1,0,0,0,2017,Liga
Joel Campbell,BET,3,1,89,4,3,0,0,0,2,0,0,0,2017,Liga
Michael Olunga,GIR,4,1,92,0,4,0,0,2,0,0,0,0,2017,Liga
Jefferson Montero,GET,4,0,55,0,2,0,0,0,8,0,0,0,2017,Liga
Carlos Calderón,GET,1,0,3,0,0,0,0,0,0,0,0,0,2017,Liga
Ferran Torres,VAL,1,0,9,0,0,0,0,0,0,0,0,0,2017,Liga
Aitor Ruibal,BET,2,0,7,0,1,0,0,0,0,0,0,0,2017,Liga
